f1,f2,f3,f4
-10.02265,0.044642857142857144,0.0,0.0
-10.02265,0.07912457912457913,0.0,0.0
-9.709679,0.09764309764309764,0.0,0.0
-9.529681,0.05128205128205129,0.0,0.0
-8.381074,0.1396011396011396,0.0,0.0
-8.450432,0.10822510822510822,0.0,0.0
-10.02265,0.14166666666666666,0.0,0.0
-9.227694,0.04882154882154882,0.0,0.0
-10.02265,0.08831908831908832,0.0,0.0
-7.467925,0.09722222222222221,0.0,0.0
-4.747043,0.08359456635318703,0.0,0.0
-10.02265,0.044642857142857144,0.0,0.0
-10.02265,0.07912457912457913,0.0,0.0
-9.709679,0.09764309764309764,0.0,0.0
-9.529681,0.05128205128205129,0.0,0.0
-8.381074,0.1396011396011396,0.0,0.0
-8.450432,0.10822510822510822,0.0,0.0
-10.02265,0.14166666666666666,0.0,0.0
-9.227694,0.04882154882154882,0.0,0.0
-10.02265,0.08831908831908832,0.0,0.0
-7.467925,0.09722222222222221,0.0,0.0
-4.747043,0.08359456635318703,0.0,0.0
-13.48494,0.16176470588235295,0.05263157894736842,0.0
-13.48494,0.14646464646464644,0.205607476635514,0.0
-13.48494,0.202020202020202,0.0,0.0
-13.48494,0.23589743589743592,0.0,0.0
-12.73422,0.19145299145299144,0.0,0.0
-12.48575,0.1724941724941725,0.0,0.0
-13.48494,0.1272727272727273,0.00423728813559322,0.0
-12.79006,0.2601010101010101,0.0,0.0
-13.48494,0.09572649572649572,0.0,0.0
-11.10974,0.25396825396825395,0.0,0.0
-7.096439,0.156998556998557,0.2,0.0
-9.64549,0.1196078431372549,0.15789473684210525,0.0
-9.64549,0.1154040404040404,0.037383177570093455,0.0
-9.332523,0.1292929292929293,0.0,0.0
-9.152524,0.12216117216117217,0.0,0.0
-8.003917,0.11105006105006106,0.0,0.0
-8.073275,0.13004539320328795,0.0,0.0
-9.64549,0.10086580086580087,0.0,0.0
-8.850538,0.1672979797979798,0.0,0.0
-9.64549,0.06147741147741148,0.0,0.0
-7.090769,0.14404761904761904,0.0,0.0
-2.871689,0.11623904550733818,0.03278688524590164,0.0
-11.68218,0.11050108932461873,0.0,0.0
-11.68218,0.1158526440879382,0.0,0.0
-11.68218,0.12696375519904932,0.0,0.0
-11.68218,0.09772893772893773,0.0,0.0
-10.93146,0.08884004884004884,0.0,0.0
-10.68299,0.10403631456263036,0.0,0.0
-11.68218,0.10735930735930736,0.0,0.0
-10.9873,0.15736779560308972,0.0,0.0
-11.68218,0.049181929181929186,0.0,0.0
-9.112948,0.11523809523809522,0.0,0.0
-4.908379,0.10727695069158483,0.0,0.0
-14.68209,0.12095238095238096,0.13157894736842105,0.0
-14.68209,0.08711111111111111,0.035398230088495575,0.0
-14.68209,0.1231111111111111,0.0,0.0
-14.68209,0.15631313131313132,0.0,0.0
-13.03419,0.15795454545454546,0.0,0.0
-13.6829,0.0873015873015873,0.0,0.0
-14.68209,0.06080917874396134,0.0,0.0
-13.98721,0.14311111111111113,0.0,0.0
-14.68209,0.1688131313131313,0.0,0.0
-11.71968,0.09333333333333334,0.0,0.0
-7.565354,0.09184278828327772,0.015151515151515152,0.0
-10.41387,0.2058823529411765,0.0,0.0
-10.41387,0.08333333333333333,0.017241379310344827,0.0
-10.1009,0.16666666666666666,0.0,0.0
-9.920905,0.06666666666666667,0.0,0.0
-8.772298,0.13333333333333333,0.0,0.0
-8.841656,0.07692307692307693,0.0,0.0
-10.41387,0.0909090909090909,0.006968641114982578,0.0
-9.618919,0.125,0.0,0.0
-10.41387,0.20000000000000004,0.0,0.0
-7.85915,0.14285714285714285,0.0,0.0
-4.769564,0.14285714285714285,0.0,0.0
-10.55367,0.09583333333333333,0.0,0.0
-10.55367,0.09393939393939395,0.0,0.0
-10.2407,0.09393939393939395,0.0,0.0
-10.0607,0.08158508158508158,0.0,0.0
-8.912094,0.11188811188811189,0.0,0.0
-8.981452,0.27946127946127947,0.0,0.0
-10.55367,0.05185185185185185,0.0,0.0
-9.758715,0.1409090909090909,0.0,0.0
-10.55367,0.1328671328671329,0.0,0.0
-7.998945,0.08888888888888889,0.0,0.0
-3.30578,0.08211143695014662,0.0,0.0
-9.668522,0.09090909090909091,0.0,0.0
-9.668522,0.13043478260869565,0.00847457627118644,0.0
-9.355554,0.17391304347826086,0.0,0.0
-9.175556,0.0,0.0,0.0
-8.026948,0.07142857142857142,0.0,0.0
-8.096306,0.16666666666666666,0.0,0.0
-9.668522,0.14285714285714285,0.0,0.0
-8.873569,0.08695652173913043,0.0,0.0
-9.668522,0.2857142857142857,0.0,0.0
-7.1138,0.07692307692307693,0.0,0.0
-3.184765,0.11764705882352941,0.0,0.0
-9.668522,0.09090909090909091,0.21052631578947367,0.0
-9.668522,0.13043478260869565,0.08333333333333333,0.0
-9.355554,0.17391304347826086,0.0,0.0
-9.175556,0.0,0.0,0.0
-8.026948,0.07142857142857142,0.0,0.0
-8.096306,0.16666666666666666,0.0,0.0
-9.668522,0.14285714285714285,0.0,0.0
-8.873569,0.08695652173913043,0.0,0.0
-9.668522,0.2857142857142857,0.0,0.0
-7.1138,0.07692307692307693,0.0,0.0
-3.184765,0.11764705882352941,0.05970149253731343,0.0
-13.02522,0.1367965367965368,0.0,0.0
-13.02522,0.16695652173913045,0.0,0.0
-13.02522,0.16695652173913045,0.0,0.0
-13.02522,0.041666666666666664,0.0,0.0
-12.2745,0.13095238095238096,0.0,0.0
-12.02603,0.20634920634920637,0.0,0.0
-13.02522,0.1214630779848171,0.0,0.0
-12.33034,0.1936231884057971,0.0,0.0
-13.02522,0.13095238095238096,0.0,0.0
-10.41369,0.14017094017094017,0.0,0.0
-6.902585,0.20915032679738563,0.029411764705882353,0.0
-10.55367,0.09583333333333333,0.0,0.0
-10.55367,0.09393939393939395,0.01639344262295082,0.0
-10.2407,0.09393939393939395,0.0,0.0
-10.0607,0.08158508158508158,0.0,0.0
-8.912094,0.11188811188811189,0.0,0.0
-8.981452,0.27946127946127947,0.0,0.0
-10.55367,0.05185185185185185,0.0,0.0
-9.758715,0.1409090909090909,0.0,0.0
-10.55367,0.1328671328671329,0.0,0.0
-7.998945,0.08888888888888889,0.0,0.0
-3.30578,0.08211143695014662,0.014705882352941176,0.0
-9.286405,0.09391392920804686,0.0,0.0
-9.286405,0.10605072463768116,0.0,0.0
-8.973438,0.11646739130434783,0.0,0.0
-8.793439,0.027083333333333334,0.0,0.0
-7.644832,0.08988095238095238,0.0,0.0
-7.71419,0.12637362637362637,0.0,0.0
-9.286405,0.08483907396950875,0.0,0.0
-5.11496,0.1231340579710145,0.0,0.0
-9.286405,0.08988095238095238,0.0,0.0
-6.731683,0.0963980463980464,0.0,0.0
-3.156824,0.1370214752567694,0.014285714285714285,0.0
-10.12828,0.09090909090909091,0.0,0.0
-10.12828,0.13043478260869565,0.008,0.0
-9.815317,0.043478260869565216,0.0,0.0
-9.635319,0.07142857142857142,0.0,0.0
-8.486712,0.07142857142857142,0.0,0.0
-8.556069,0.0,0.0,0.0
-10.12828,0.14285714285714285,0.0,0.0
-9.333332,0.08695652173913043,0.0,0.0
-10.12828,0.07142857142857142,0.0,0.0
-7.573563,0.07692307692307693,0.0,0.0
-4.329741,0.11764705882352941,0.0,0.0
-13.46433,0.13118279569892474,0.0,0.0
-13.46433,0.13015873015873017,0.008,0.0
-13.46433,0.09682539682539681,0.0,0.0
-13.46433,0.06060606060606061,0.0,0.0
-12.71361,0.11616161616161617,0.0,0.0
-12.46514,0.14074074074074075,0.0,0.0
-13.46433,0.10721247563352826,0.0027397260273972603,0.0
-12.76945,0.1634920634920635,0.0,0.0
-13.46433,0.11616161616161617,0.0,0.0
-11.08912,0.24848484848484845,0.03571428571428571,0.0
-7.566505,0.1478494623655914,0.0,0.0
-13.14725,0.17374517374517376,0.25,0.0
-13.14725,0.1111111111111111,0.064,0.0
-13.14725,0.1851851851851852,0.0,0.0
